scene_id,layout_variant,source_config_id,n_objects,changed_objects,total_xz_movement,max_xz_movement,budget_total,budget_max
bedroom:205197ab-2552-4466-aa07-fdb2beb1f7ab_MasterBedroom-6399,generic_relation_optimizer,eg06_generic_budget_matched,5,0,0.0,0.0,0.8170179546344326,0.8170179546344326
bedroom:217a37c6-075b-4f4c-a0ab-196e07bb5f3d_SecondBedroom-52584,collision_gated_floor_prior,floor_prior_max1.8_mesh_p2_close0.75_far1.6,7,0,0.0,0.0,0.0,0.0
bedroom:217a37c6-075b-4f4c-a0ab-196e07bb5f3d_SecondBedroom-52584,random_movement_matched_seed0,eg06_random_seed0,7,0,0.0,0.0,0.0,0.0
bedroom:217a37c6-075b-4f4c-a0ab-196e07bb5f3d_SecondBedroom-52584,random_movement_matched_seed1,eg06_random_seed1,7,0,0.0,0.0,0.0,0.0
bedroom:217a37c6-075b-4f4c-a0ab-196e07bb5f3d_SecondBedroom-52584,random_movement_matched_seed2,eg06_random_seed2,7,0,0.0,0.0,0.0,0.0
bedroom:217a37c6-075b-4f4c-a0ab-196e07bb5f3d_SecondBedroom-52584,generic_relation_optimizer,eg06_generic_budget_matched,7,0,0.0,0.0,0.0,0.0
bedroom:21a2b6a2-7126-4727-bf72-68e5f6b57c6b_SecondBedroom-860,collision_gated_floor_prior,floor_prior_max1.8_mesh_p2_close0.75_far1.6,5,0,0.0,0.0,0.0,0.0
bedroom:21a2b6a2-7126-4727-bf72-68e5f6b57c6b_SecondBedroom-860,random_movement_matched_seed0,eg06_random_seed0,5,0,0.0,0.0,0.0,0.0
bedroom:21a2b6a2-7126-4727-bf72-68e5f6b57c6b_SecondBedroom-860,random_movement_matched_seed1,eg06_random_seed1,5,0,0.0,0.0,0.0,0.0
bedroom:21a2b6a2-7126-4727-bf72-68e5f6b57c6b_SecondBedroom-860,random_movement_matched_seed2,eg06_random_seed2,5,0,0.0,0.0,0.0,0.0
bedroom:21a2b6a2-7126-4727-bf72-68e5f6b57c6b_SecondBedroom-860,generic_relation_optimizer,eg06_generic_budget_matched,5,0,0.0,0.0,0.0,0.0
bedroom:22de98d5-60fc-4c5f-92e3-d589af0c57df_MasterBedroom-514,collision_gated_floor_prior,floor_prior_max1.8_mesh_p2_close0.75_far1.6,8,0,0.0,0.0,0.0,0.0
bedroom:22de98d5-60fc-4c5f-92e3-d589af0c57df_MasterBedroom-514,random_movement_matched_seed0,eg06_random_seed0,8,0,0.0,0.0,0.0,0.0
bedroom:22de98d5-60fc-4c5f-92e3-d589af0c57df_MasterBedroom-514,random_movement_matched_seed1,eg06_random_seed1,8,0,0.0,0.0,0.0,0.0
bedroom:22de98d5-60fc-4c5f-92e3-d589af0c57df_MasterBedroom-514,random_movement_matched_seed2,eg06_random_seed2,8,0,0.0,0.0,0.0,0.0
bedroom:22de98d5-60fc-4c5f-92e3-d589af0c57df_MasterBedroom-514,generic_relation_optimizer,eg06_generic_budget_matched,8,0,0.0,0.0,0.0,0.0
bedroom:23332f94-e456-4e6e-b308-aa13e69b9c47_SecondBedroom-11204,collision_gated_floor_prior,floor_prior_max1.8_mesh_p2_close0.75_far1.6,5,0,0.0,0.0,0.0,0.0
bedroom:23332f94-e456-4e6e-b308-aa13e69b9c47_SecondBedroom-11204,random_movement_matched_seed0,eg06_random_seed0,5,0,0.0,0.0,0.0,0.0
bedroom:23332f94-e456-4e6e-b308-aa13e69b9c47_SecondBedroom-11204,random_movement_matched_seed1,eg06_random_seed1,5,0,0.0,0.0,0.0,0.0
bedroom:23332f94-e456-4e6e-b308-aa13e69b9c47_SecondBedroom-11204,random_movement_matched_seed2,eg06_random_seed2,5,0,0.0,0.0,0.0,0.0
bedroom:23332f94-e456-4e6e-b308-aa13e69b9c47_SecondBedroom-11204,generic_relation_optimizer,eg06_generic_budget_matched,5,0,0.0,0.0,0.0,0.0
bedroom:23f42f25-fdc1-4897-8905-c60a4545e404_MasterBedroom-4089,collision_gated_floor_prior,floor_prior_max1.8_mesh_p2_close0.75_far1.6,3,0,0.0,0.0,0.0,0.0
bedroom:23f42f25-fdc1-4897-8905-c60a4545e404_MasterBedroom-4089,random_movement_matched_seed0,eg06_random_seed0,3,0,0.0,0.0,0.0,0.0
bedroom:23f42f25-fdc1-4897-8905-c60a4545e404_MasterBedroom-4089,random_movement_matched_seed1,eg06_random_seed1,3,0,0.0,0.0,0.0,0.0
bedroom:23f42f25-fdc1-4897-8905-c60a4545e404_MasterBedroom-4089,random_movement_matched_seed2,eg06_random_seed2,3,0,0.0,0.0,0.0,0.0
bedroom:23f42f25-fdc1-4897-8905-c60a4545e404_MasterBedroom-4089,generic_relation_optimizer,eg06_generic_budget_matched,3,0,0.0,0.0,0.0,0.0
bedroom:2463f2a4-6b9d-4410-9d93-a2415fdffd86_MasterBedroom-21684,collision_gated_floor_prior,floor_prior_max1.8_mesh_p2_close0.75_far1.6,7,0,0.0,0.0,0.0,0.0
bedroom:2463f2a4-6b9d-4410-9d93-a2415fdffd86_MasterBedroom-21684,random_movement_matched_seed0,eg06_random_seed0,7,0,0.0,0.0,0.0,0.0
bedroom:2463f2a4-6b9d-4410-9d93-a2415fdffd86_MasterBedroom-21684,random_movement_matched_seed1,eg06_random_seed1,7,0,0.0,0.0,0.0,0.0
bedroom:2463f2a4-6b9d-4410-9d93-a2415fdffd86_MasterBedroom-21684,random_movement_matched_seed2,eg06_random_seed2,7,0,0.0,0.0,0.0,0.0
bedroom:2463f2a4-6b9d-4410-9d93-a2415fdffd86_MasterBedroom-21684,generic_relation_optimizer,eg06_generic_budget_matched,7,0,0.0,0.0,0.0,0.0
