room,variant,relation,n,baseline_acc,repair_acc,gain
diningroom,floor_prior_seed2_max1.8_mesh_p2_close0.75_far1.6,2,50,0.58,0.7,0.12
diningroom,floor_prior_seed2_max1.8_mesh_p2_close0.75_far1.6,3,20,0.75,0.95,0.19999999999999996
diningroom,floor_prior_seed2_max1.8_mesh_p2_close0.75_far1.6,4,21,0.7142857142857143,0.9047619047619048,0.19047619047619047
diningroom,floor_prior_seed2_max1.8_mesh_p2_close0.75_far1.6,5,14,1.0,1.0,0.0
diningroom,floor_prior_seed2_max1.8_mesh_p2_close0.75_far1.6,6,53,0.4528301886792453,0.6037735849056604,0.15094339622641506
diningroom,floor_prior_seed2_max1.8_mesh_p2_close0.75_far1.6,7,36,0.4166666666666667,0.6388888888888888,0.22222222222222215
diningroom,floor_prior_seed2_max1.8_mesh_p2_close0.75_far1.6,8,19,0.7894736842105263,0.8947368421052632,0.10526315789473684
diningroom,floor_prior_seed2_max1.8_mesh_p2_close0.75_far1.6,9,13,1.0,1.0,0.0
livingroom,floor_direct_yfix_mesh_p2_close0.75_far1.6,0,5,0.6,0.4,-0.19999999999999996
livingroom,floor_direct_yfix_mesh_p2_close0.75_far1.6,1,55,0.6181818181818182,0.7818181818181819,0.1636363636363637
livingroom,floor_direct_yfix_mesh_p2_close0.75_far1.6,2,57,0.5614035087719298,0.8070175438596491,0.24561403508771928
livingroom,floor_direct_yfix_mesh_p2_close0.75_far1.6,3,14,0.5714285714285714,0.7857142857142857,0.2142857142857143
livingroom,floor_direct_yfix_mesh_p2_close0.75_far1.6,4,14,0.5714285714285714,0.7142857142857143,0.1428571428571429
livingroom,floor_direct_yfix_mesh_p2_close0.75_far1.6,5,19,0.7368421052631579,0.7368421052631579,0.0
livingroom,floor_direct_yfix_mesh_p2_close0.75_far1.6,6,54,0.46296296296296297,0.6666666666666666,0.20370370370370366
livingroom,floor_direct_yfix_mesh_p2_close0.75_far1.6,7,53,0.41509433962264153,0.7169811320754716,0.3018867924528301
